,turbulence_level,turbulence_threshold,is_above_threshold
20160104,72.85804382236927,140,False
20160105,76.74834669173458,140,False
20160106,73.4482854516368,140,False
20160107,64.97875977922462,140,False
20160108,64.30284177449862,140,False
20160111,63.59754794372898,140,False
20160112,60.479092274092544,140,False
20160113,48.341598696483395,140,False
20160114,51.375786521902754,140,False
20160115,55.07025891281871,140,False
20160119,61.98237603613469,140,False
20160120,62.83532271063211,140,False
20160121,65.31196216544079,140,False
20160122,80.73402849511044,140,False
20160125,78.9612980255863,140,False
20160126,98.30546270703293,140,False
20160127,118.80891296780676,140,False
20160128,125.35874831961672,140,False
20160129,146.69610037876458,140,True
20160201,138.98080770845422,140,False
20160202,150.2728271741833,140,True
20160203,164.8163518134653,140,True
20160204,159.78265894187666,140,True
20160205,165.0581747947652,140,True
20160208,165.1629640897117,140,True
20160209,143.65416426281783,140,True
20160210,129.16608258134215,140,False
20160211,119.24530938164244,140,False
20160212,132.3627005849747,140,False
20160216,122.25994983177492,140,False
20160217,111.76796345833557,140,False
20160218,118.6036163321287,140,False
20160219,119.65014403441776,140,False
20160222,104.89018168832231,140,False
20160223,99.99718682717581,140,False
20160224,100.94714209695371,140,False
20160225,113.56484851218651,140,False
20160226,105.22115635729635,140,False
20160229,88.79384248116659,140,False
20160301,83.65846919789307,140,False
20160302,82.68801993170467,140,False
20160303,72.61918109229231,140,False
20160304,70.23923251927789,140,False
20160307,61.90868145147964,140,False
20160308,68.79503889719918,140,False
20160309,61.29686182489829,140,False
20160310,57.8306561635241,140,False
20160311,57.81369493088327,140,False
20160314,58.27120883501241,140,False
20160315,62.40492878569614,140,False
20160316,69.4023331627458,140,False
20160317,69.38766863687755,140,False
20160318,64.56891465882728,140,False
20160321,67.38771968750747,140,False
20160322,69.33407847750888,140,False
20160323,59.58658369146392,140,False
20160324,59.296050231044156,140,False
20160328,60.95501822076246,140,False
20160329,58.71859374457522,140,False
20160330,56.30746413633686,140,False
20160331,60.01867396998542,140,False
20160401,61.72870008547097,140,False
20160404,64.4284061038819,140,False
